"trial.c"	"condition.mode"	"condition.difficulty"	"condition.stability"	"total.mean"	"total.median"	"peek.mean"	"outcome.mean"	"outcome.median"	"optionswitch.mean"	"modeswitch.mean"
"182"	23	"peek"	"easy"	"stable"	-25.7105263157895	-24	0.736842105263158	-1.81578947368421	-11	0.473684210526316	0.421052631578947
"183"	23	"peek"	"hard"	"dynamic"	-15.7105263157895	-0.5	0.710526315789474	14.1842105263158	-25	0.421052631578947	0.289473684210526
"184"	23	"peek"	"hard"	"stable"	-10.4634146341463	12	0.731707317073171	7.92682926829268	-25	0.414634146341463	0.341463414634146
"185"	24	"keep"	"easy"	"dynamic"	-32.5348837209302	-24	1	3.83720930232558	3	0.511627906976744	0
"186"	24	"keep"	"easy"	"stable"	-18.3809523809524	-11.5	1	4.52380952380952	3	0.452380952380952	0
"187"	24	"keep"	"hard"	"dynamic"	-37.037037037037	-32	1	31.1111111111111	37	0.481481481481481	0
"188"	24	"keep"	"hard"	"stable"	-35.3684210526316	-24.5	1	28.7105263157895	32.5	0.473684210526316	0
"189"	24	"peek"	"easy"	"dynamic"	-12.4594594594595	-17	0.756756756756757	3.10810810810811	3	0.378378378378378	0.297297297297297
"190"	24	"peek"	"easy"	"stable"	-23.0789473684211	-21.5	0.657894736842105	3.78947368421053	3	0.605263157894737	0.342105263157895
"191"	24	"peek"	"hard"	"dynamic"	5.47368421052632	31	0.736842105263158	28.2368421052632	28	0.578947368421053	0.131578947368421
"192"	24	"peek"	"hard"	"stable"	11.7317073170732	14	0.682926829268293	31.2926829268293	37	0.48780487804878	0.24390243902439
"193"	25	"keep"	"easy"	"dynamic"	-28.046511627907	-18	1	4.48837209302326	7	0.395348837209302	0
"194"	25	"keep"	"easy"	"stable"	-13.452380952381	-10.5	1	4.92857142857143	7	0.404761904761905	0
"195"	25	"keep"	"hard"	"dynamic"	-53.6206896551724	-42	1	-11.6551724137931	-18	0.344827586206897	0
"196"	25	"keep"	"hard"	"stable"	-43.6842105263158	-46.5	1	-8.31578947368421	-18	0.394736842105263	0
"197"	25	"peek"	"easy"	"dynamic"	-9.94594594594595	-11	0.594594594594595	4.59459459459459	7	0.459459459459459	0.378378378378378
"198"	25	"peek"	"easy"	"stable"	-18.2894736842105	-19	0.684210526315789	5.55263157894737	7	0.394736842105263	0.289473684210526
