"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"307"	60	"uniform"	"mean"	5	-5	1	1	5	15	1.82237445122787	1
"308"	65	"uniform"	"mean"	5	-5	1	1	5	15	0.712787046258814	1
"309"	70	"uniform"	"mean"	5	-5	1	1	5	15	1.22272365963388	1
"310"	75	"uniform"	"mean"	5	-5	1	1	5	15	0.675088184714049	1
"311"	80	"uniform"	"mean"	5	-5	1	1	5	15	0.644694452199187	1
"312"	85	"uniform"	"mean"	5	-5	1	1	5	15	1.01069167029513	1
"313"	90	"uniform"	"mean"	5	-5	1	1	5	15	0.245707646631104	1
"314"	95	"uniform"	"mean"	5	-5	1	1	5	15	1.13193515546842	1
"315"	100	"uniform"	"mean"	5	-5	1	1	5	15	0.746197729772631	1
"316"	0	"uniform"	"mean"	5	-5	1	1	5	16	5	1
"317"	5	"uniform"	"mean"	5	-5	1	1	5	16	1.31025800234969	1
"318"	10	"uniform"	"mean"	5	-5	1	1	5	16	3.22909296154568	1
"319"	15	"uniform"	"mean"	5	-5	1	1	5	16	1.15182113434515	1
"320"	20	"uniform"	"mean"	5	-5	1	1	5	16	1.07043769183601	1
"321"	25	"uniform"	"mean"	5	-5	1	1	5	16	1.72883668256315	1
"322"	30	"uniform"	"mean"	5	-5	1	1	5	16	2.25248414292965	1
"323"	35	"uniform"	"mean"	5	-5	1	1	5	16	0.576867648795456	1
"324"	40	"uniform"	"mean"	5	-5	1	1	5	16	0.820917468921956	1
"325"	45	"uniform"	"mean"	5	-5	1	1	5	16	0.534913837801877	1
"326"	50	"uniform"	"mean"	5	-5	1	1	5	16	0.812563060392431	1
"327"	55	"uniform"	"mean"	5	-5	1	1	5	16	0.766207647579808	1
"328"	60	"uniform"	"mean"	5	-5	1	1	5	16	0.504930297667147	1
"329"	65	"uniform"	"mean"	5	-5	1	1	5	16	0.830926478698164	1
"330"	70	"uniform"	"mean"	5	-5	1	1	5	16	0.378131795588309	1
"331"	75	"uniform"	"mean"	5	-5	1	1	5	16	0.208420777926534	1
